@RELATION "B3 - GFSA3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
-22.6485,8.5485,20.9449,-0.3774,-28.5804,-22.6485,8.5485,20.9449,-0.3774,-28.5804,371.1053,1
-22.6485,8.5485,20.9449,-0.3774,-28.5804,-21.6956,8.1889,20.0637,-0.3774,-27.378,355.4925,1
-21.6956,8.1889,20.0637,-0.3774,-27.378,-21.2559,8.0229,19.657,-0.3774,-26.823,348.2865,1
-21.2559,8.0229,19.657,-0.3774,-26.823,-20.0831,7.5803,18.5725,-0.3774,-25.3431,329.0707,1
-20.0831,7.5803,18.5725,-0.3774,-25.3431,-19.6433,7.4143,18.1658,-0.3774,-24.7882,321.8648,1
-19.6433,7.4143,18.1658,-0.3774,-24.7882,-18.5439,6.9993,17.149,-0.3774,-23.4008,303.85,1
-18.5439,6.9993,17.149,-0.3774,-23.4008,-17.9575,6.778,16.6068,-0.3774,-22.6608,294.2421,1
-17.9575,6.778,16.6068,-0.3774,-22.6608,-19.2769,7.2759,17.8269,-0.3774,-24.3257,315.8598,1
-19.2769,7.2759,17.8269,-0.3774,-24.3257,-18.4706,6.9716,17.0813,-0.3774,-23.3083,302.649,1
-18.4706,6.9716,17.0813,-0.3774,-23.3083,-19.4235,7.3313,17.9624,-0.3774,-24.5107,318.2618,1
-19.4235,7.3313,17.9624,-0.3774,-24.5107,-18.8371,7.11,17.4202,-0.3774,-23.7707,308.6539,1
-18.8371,7.11,17.4202,-0.3774,-23.7707,-18.9104,7.1376,17.4879,-0.3774,-23.8632,309.8549,1
-18.9104,7.1376,17.4879,-0.3774,-23.8632,-17.8842,6.7503,16.539,-0.3774,-22.5683,293.0411,1
-17.8842,6.7503,16.539,-0.3774,-22.5683,-18.1041,6.8333,16.7423,-0.3774,-22.8458,296.644,1
-18.1041,6.8333,16.7423,-0.3774,-22.8458,-17.5178,6.612,16.2001,-0.3774,-22.1059,287.0361,1
-17.5178,6.612,16.2001,-0.3774,-22.1059,-17.1513,6.4737,15.8612,-0.3774,-21.6434,281.0312,1
-17.1513,6.4737,15.8612,-0.3774,-21.6434,-17.3712,6.5567,16.0645,-0.3774,-21.9209,284.6342,1
-17.3712,6.5567,16.0645,-0.3774,-21.9209,-16.4916,6.2247,15.2511,-0.3774,-20.8109,270.2223,1
-16.4916,6.2247,15.2511,-0.3774,-20.8109,-17.078,6.446,15.7934,-0.3774,-21.5509,279.8302,1
-17.078,6.446,15.7934,-0.3774,-21.5509,-17.8842,6.7503,16.539,-0.3774,-22.5683,293.0411,1
-17.8842,6.7503,16.539,-0.3774,-22.5683,-19.057,7.193,17.6235,-0.3774,-24.0482,312.2569,1
-19.057,7.193,17.6235,-0.3774,-24.0482,-17.6644,6.6673,16.3356,-0.3774,-22.2908,289.4381,1
-17.6644,6.6673,16.3356,-0.3774,-22.2908,-16.6382,6.28,15.3867,-0.3774,-20.9959,272.6243,1
-16.6382,6.28,15.3867,-0.3774,-20.9959,-16.345,6.1693,15.1156,-0.3774,-20.626,267.8203,1
-16.345,6.1693,15.1156,-0.3774,-20.626,-16.345,6.1693,15.1156,-0.3774,-20.626,267.8203,1
-16.345,6.1693,15.1156,-0.3774,-20.626,-17.078,6.446,15.7934,-0.3774,-21.5509,279.8302,1
-17.078,6.446,15.7934,-0.3774,-21.5509,-18.8371,7.11,17.4202,-0.3774,-23.7707,308.6539,1
-18.8371,7.11,17.4202,-0.3774,-23.7707,-19.1303,7.2206,17.6913,-0.3774,-24.1407,313.4579,1
-19.1303,7.2206,17.6913,-0.3774,-24.1407,-18.3973,6.944,17.0135,-0.3774,-23.2158,301.448,1
-18.3973,6.944,17.0135,-0.3774,-23.2158,-18.8371,7.11,17.4202,-0.3774,-23.7707,308.6539,1
-18.8371,7.11,17.4202,-0.3774,-23.7707,-18.5439,6.9993,17.149,-0.3774,-23.4008,303.85,1
-18.5439,6.9993,17.149,-0.3774,-23.4008,-21.1093,7.9676,19.5214,-0.3774,-26.638,345.8845,1
-21.1093,7.9676,19.5214,-0.3774,-26.638,-21.9888,8.2996,20.3348,-0.3774,-27.7479,360.2964,1
-21.9888,8.2996,20.3348,-0.3774,-27.7479,-20.4496,7.7186,18.9114,-0.3774,-25.8056,335.0757,1
-20.4496,7.7186,18.9114,-0.3774,-25.8056,-22.1354,8.3549,20.4704,-0.3774,-27.9329,362.6984,1
-22.1354,8.3549,20.4704,-0.3774,-27.9329,-22.7951,8.6039,21.0804,-0.3774,-28.7654,373.5073,1
-22.7951,8.6039,21.0804,-0.3774,-28.7654,-26.3133,9.9318,24.334,-0.3774,-33.205,431.1547,1
-26.3133,9.9318,24.334,-0.3774,-33.205,-25.4026,9.7966,23.7343,-0.3857,-33.0785,426.3507,1
-25.4026,9.7966,23.7343,-0.3857,-33.0785,-23.3991,9.0239,21.8623,-0.3857,-30.4695,392.7231,1
-23.3991,9.0239,21.8623,-0.3857,-30.4695,-24.6871,9.5206,23.0658,-0.3857,-32.1467,414.3409,1
-24.6871,9.5206,23.0658,-0.3857,-32.1467,-26.1182,10.0725,24.4029,-0.3857,-34.0103,438.3606,1
-26.1182,10.0725,24.4029,-0.3857,-34.0103,-26.4044,10.1829,24.6703,-0.3857,-34.383,443.1646,1
-26.4044,10.1829,24.6703,-0.3857,-34.383,-27.9071,10.7624,26.0743,-0.3857,-36.3397,468.3853,0
-27.9071,10.7624,26.0743,-0.3857,-36.3397,-29.4098,11.3419,27.4783,-0.3857,-38.2965,493.6061,0
-29.4098,11.3419,27.4783,-0.3857,-38.2965,-29.1952,11.2591,27.2778,-0.3857,-38.017,490.0031,0
-29.1952,11.2591,27.2778,-0.3857,-38.017,-27.5493,10.6244,25.7401,-0.3857,-35.8738,462.3804,0
-27.5493,10.6244,25.7401,-0.3857,-35.8738,-29.2667,11.2867,27.3446,-0.3857,-38.1101,491.2041,0
-29.2667,11.2867,27.3446,-0.3857,-38.1101,-28.6227,11.0384,26.7429,-0.3857,-37.2715,480.3952,0
-28.6227,11.0384,26.7429,-0.3857,-37.2715,-29.4098,11.3419,27.4783,-0.3857,-38.2965,493.6061,0
-29.4098,11.3419,27.4783,-0.3857,-38.2965,-29.7676,11.4799,27.8126,-0.3857,-38.7624,499.611,0
-29.7676,11.4799,27.8126,-0.3857,-38.7624,-29.3383,11.3143,27.4115,-0.3857,-38.2033,492.4051,0
-29.3383,11.3143,27.4115,-0.3857,-38.2033,-28.9805,11.1764,27.0772,-0.3857,-37.7374,486.4001,0
-28.9805,11.1764,27.0772,-0.3857,-37.7374,-29.5529,11.3971,27.6121,-0.3857,-38.4829,496.008,0
-29.5529,11.3971,27.6121,-0.3857,-38.4829,-28.6227,11.0384,26.7429,-0.3857,-37.2715,480.3952,0
-28.6227,11.0384,26.7429,-0.3857,-37.2715,-27.9787,10.79,26.1412,-0.3857,-36.4329,469.5863,0
-27.9787,10.79,26.1412,-0.3857,-36.4329,-28.5511,11.0108,26.6761,-0.3857,-37.1784,479.1942,1
-28.5511,11.0108,26.6761,-0.3857,-37.1784,-28.2649,10.9004,26.4086,-0.3857,-36.8056,474.3903,0
-28.2649,10.9004,26.4086,-0.3857,-36.8056,-31.9859,12.3354,29.8852,-0.3857,-41.6509,536.8416,0
-31.9859,12.3354,29.8852,-0.3857,-41.6509,-30.9125,11.9215,28.8823,-0.3857,-40.2533,518.8268,0
