@RELATION "B3 - GGBR4"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
13.9386,1.0967,14.5748,0.0787,11.7443,13.4917,1.0616,14.1075,0.0787,11.3678,15.2381,0
13.4917,1.0616,14.1075,0.0787,11.3678,13.5675,1.0676,14.1869,0.0787,11.4317,15.3238,0
13.5675,1.0676,14.1869,0.0787,11.4317,13.8964,1.0934,14.5307,0.0787,11.7088,15.6952,0
13.8964,1.0934,14.5307,0.0787,11.7088,14.006,1.1021,14.6454,0.0787,11.8012,15.819,0
14.006,1.1021,14.6454,0.0787,11.8012,13.6519,1.0742,14.275,0.0787,11.5028,15.419,0
13.6519,1.0742,14.275,0.0787,11.5028,13.3652,1.0516,13.9752,0.0787,11.2612,15.0952,0
13.3652,1.0516,13.9752,0.0787,11.2612,13.3652,1.0516,13.9752,0.0787,11.2612,15.0952,0
13.3652,1.0516,13.9752,0.0787,11.2612,13.07,1.0284,13.6666,0.0787,11.0125,14.7619,0
13.07,1.0284,13.6666,0.0787,11.0125,13.1291,1.033,13.7284,0.0787,11.0623,14.8286,0
13.1291,1.033,13.7284,0.0787,11.0623,14.1662,1.1147,14.8129,0.0787,11.9362,16.0,0
14.1662,1.1147,14.8129,0.0787,11.9362,13.8795,1.0921,14.5131,0.0787,11.6946,15.6762,0
13.8795,1.0921,14.5131,0.0787,11.6946,13.7699,1.0835,14.3985,0.0787,11.6023,15.5524,0
13.7699,1.0835,14.3985,0.0787,11.6023,13.4917,1.0616,14.1075,0.0787,11.3678,15.2381,0
13.4917,1.0616,14.1075,0.0787,11.3678,13.6181,1.0715,14.2398,0.0787,11.4744,15.381,0
13.6181,1.0715,14.2398,0.0787,11.4744,13.7868,1.0848,14.4161,0.0787,11.6165,15.5714,0
13.7868,1.0848,14.4161,0.0787,11.6165,13.7278,1.0802,14.3544,0.0787,11.5667,15.5048,0
13.7278,1.0802,14.3544,0.0787,11.5667,13.5591,1.0669,14.178,0.0787,11.4246,15.3143,0
13.5591,1.0669,14.178,0.0787,11.4246,13.3736,1.0523,13.9841,0.0787,11.2683,15.1048,0
13.3736,1.0523,13.9841,0.0787,11.2683,13.264,1.0437,13.8694,0.0787,11.176,14.981,0
13.264,1.0437,13.8694,0.0787,11.176,13.6181,1.0715,14.2398,0.0787,11.4744,15.381,0
13.6181,1.0715,14.2398,0.0787,11.4744,13.4495,1.0583,14.0634,0.0787,11.3323,15.1905,0
