@RELATION "B3 - FESA4"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
11.7598,0.7922,1.4023,0.0674,18.7118,11.7127,0.7891,1.3967,0.0674,18.6369,9.95,1
11.7127,0.7891,1.3967,0.0674,18.6369,12.2896,0.8279,1.4655,0.0674,19.5547,10.44,1
12.2896,0.8279,1.4655,0.0674,19.5547,12.1248,0.8168,1.4458,0.0674,19.2924,10.3,1
12.1248,0.8168,1.4458,0.0674,19.2924,11.8305,0.797,1.4107,0.0674,18.8242,10.05,1
11.8305,0.797,1.4107,0.0674,18.8242,11.7716,0.793,1.4037,0.0674,18.7305,10.0,1
11.7716,0.793,1.4037,0.0674,18.7305,11.4891,0.774,1.37,0.0674,18.281,9.76,1
11.4891,0.774,1.37,0.0674,18.281,11.701,0.7883,1.3953,0.0674,18.6181,9.94,1
11.701,0.7883,1.3953,0.0674,18.6181,13.5256,0.9112,1.6128,0.0674,21.5214,11.49,1
13.5256,0.9112,1.6128,0.0674,21.5214,13.3961,0.9025,1.5974,0.0674,21.3153,11.38,1
13.3961,0.9025,1.5974,0.0674,21.3153,13.4196,0.9041,1.6002,0.0674,21.3528,11.4,1
13.4196,0.9041,1.6002,0.0674,21.3528,13.7728,0.9279,1.6423,0.0674,21.9147,11.7,1
13.7728,0.9279,1.6423,0.0674,21.9147,13.8787,0.935,1.6549,0.0674,22.0833,11.79,1
13.8787,0.935,1.6549,0.0674,22.0833,14.1259,0.9517,1.6844,0.0674,22.4766,12.0,1
14.1259,0.9517,1.6844,0.0674,22.4766,13.7492,0.9263,1.6395,0.0674,21.8772,11.68,1
13.7492,0.9263,1.6395,0.0674,21.8772,13.9494,0.9398,1.6634,0.0674,22.1957,11.85,1
13.9494,0.9398,1.6634,0.0674,22.1957,14.0082,0.9437,1.6704,0.0674,22.2893,11.9,1
14.0082,0.9437,1.6704,0.0674,22.2893,13.867,0.9342,1.6535,0.0674,22.0645,11.78,1
13.867,0.9342,1.6535,0.0674,22.0645,12.7133,0.8565,1.516,0.0674,20.229,10.8,1
12.7133,0.8565,1.516,0.0674,20.229,12.8193,0.8636,1.5286,0.0674,20.3975,10.89,1
12.8193,0.8636,1.5286,0.0674,20.3975,13.4196,0.9041,1.6002,0.0674,21.3528,11.4,1
13.4196,0.9041,1.6002,0.0674,21.3528,13.1489,0.8858,1.5679,0.0674,20.922,11.17,1
13.1489,0.8858,1.5679,0.0674,20.922,13.3019,0.8961,1.5862,0.0674,21.1655,11.3,1
13.3019,0.8961,1.5862,0.0674,21.1655,13.7728,0.9279,1.6423,0.0674,21.9147,11.7,1
13.7728,0.9279,1.6423,0.0674,21.9147,14.1259,0.9517,1.6844,0.0674,22.4766,12.0,1
14.1259,0.9517,1.6844,0.0674,22.4766,14.3025,0.9635,1.7055,0.0674,22.7576,12.15,1
14.3025,0.9635,1.7055,0.0674,22.7576,14.1259,0.9517,1.6844,0.0674,22.4766,12.0,1
14.1259,0.9517,1.6844,0.0674,22.4766,14.2436,0.9596,1.6985,0.0674,22.6639,12.1,1
14.2436,0.9596,1.6985,0.0674,22.6639,13.9611,0.9405,1.6648,0.0674,22.2144,11.86,1
13.9611,0.9405,1.6648,0.0674,22.2144,13.9494,0.9398,1.6634,0.0674,22.1957,11.85,1
13.9494,0.9398,1.6634,0.0674,22.1957,13.5256,0.9112,1.6128,0.0674,21.5214,11.49,1
13.5256,0.9112,1.6128,0.0674,21.5214,13.8316,0.9318,1.6493,0.0674,22.0084,11.75,1
13.8316,0.9318,1.6493,0.0674,22.0084,14.02,0.9445,1.6718,0.0674,22.308,11.91,1
14.02,0.9445,1.6718,0.0674,22.308,14.1848,0.9556,1.6914,0.0674,22.5703,12.05,1
14.1848,0.9556,1.6914,0.0674,22.5703,14.0671,0.9477,1.6774,0.0674,22.383,11.95,1
14.0671,0.9477,1.6774,0.0674,22.383,14.2436,0.9596,1.6985,0.0674,22.6639,12.1,1
14.2436,0.9596,1.6985,0.0674,22.6639,13.5256,0.9112,1.6128,0.0674,21.5214,11.49,1
13.5256,0.9112,1.6128,0.0674,21.5214,13.1371,0.885,1.5665,0.0674,20.9033,11.16,1
13.1371,0.885,1.5665,0.0674,20.9033,13.0665,0.8803,1.5581,0.0674,20.7909,11.1,1
13.0665,0.8803,1.5581,0.0674,20.7909,13.1724,0.8874,1.5707,0.0674,20.9594,11.19,1
13.1724,0.8874,1.5707,0.0674,20.9594,13.3608,0.9001,1.5932,0.0674,21.2591,11.35,1
13.3608,0.9001,1.5932,0.0674,21.2591,13.7375,0.9255,1.6381,0.0674,21.8585,11.67,1
13.7375,0.9255,1.6381,0.0674,21.8585,13.6551,0.9199,1.6283,0.0674,21.7274,11.6,1
13.6551,0.9199,1.6283,0.0674,21.7274,13.608,0.9168,1.6227,0.0674,21.6525,11.56,1
13.608,0.9168,1.6227,0.0674,21.6525,14.0553,0.9469,1.676,0.0674,22.3642,11.94,1
14.0553,0.9469,1.676,0.0674,22.3642,14.3496,0.9667,1.7111,0.0674,22.8325,12.19,1
14.3496,0.9667,1.7111,0.0674,22.8325,14.0435,0.9461,1.6746,0.0674,22.3455,11.93,1
14.0435,0.9461,1.6746,0.0674,22.3455,14.1259,0.9517,1.6844,0.0674,22.4766,12.0,1
14.1259,0.9517,1.6844,0.0674,22.4766,14.3025,0.9635,1.7055,0.0674,22.7576,12.15,1
14.3025,0.9635,1.7055,0.0674,22.7576,14.3025,0.9635,1.7055,0.0674,22.7576,12.15,1
14.3025,0.9635,1.7055,0.0674,22.7576,14.1259,0.9517,1.6844,0.0674,22.4766,12.0,1
14.1259,0.9517,1.6844,0.0674,22.4766,14.2201,0.958,1.6957,0.0674,22.6265,12.08,1
14.2201,0.958,1.6957,0.0674,22.6265,13.7845,0.9287,1.6437,0.0674,21.9334,11.71,1
13.7845,0.9287,1.6437,0.0674,21.9334,14.0671,0.9477,1.6774,0.0674,22.383,11.95,1
14.0671,0.9477,1.6774,0.0674,22.383,14.6681,0.9097,1.5983,0.062,21.4354,11.68,1
14.6681,0.9097,1.5983,0.062,21.4354,14.8188,0.919,1.6147,0.062,21.6556,11.8,1
14.8188,0.919,1.6147,0.062,21.6556,14.3165,0.8879,1.56,0.062,20.9215,11.4,1
14.3165,0.8879,1.56,0.062,20.9215,14.3793,0.8918,1.5668,0.062,21.0133,11.45,1
14.3793,0.8918,1.5668,0.062,21.0133,14.1909,0.8801,1.5463,0.062,20.738,11.3,1
14.1909,0.8801,1.5463,0.062,20.738,14.1909,0.8801,1.5463,0.062,20.738,11.3,1
14.1909,0.8801,1.5463,0.062,20.738,13.676,0.8482,1.4902,0.062,19.9856,10.89,1
13.676,0.8482,1.4902,0.062,19.9856,13.362,0.8287,1.456,0.062,19.5267,10.64,1
13.362,0.8287,1.456,0.062,19.5267,13.3495,0.8279,1.4546,0.062,19.5084,10.63,1
13.3495,0.8279,1.4546,0.062,19.5084,13.563,0.8412,1.4778,0.062,19.8204,10.8,1
13.563,0.8412,1.4778,0.062,19.8204,13.362,0.8287,1.456,0.062,19.5267,10.64,1
13.362,0.8287,1.456,0.062,19.5267,13.3871,0.8303,1.4587,0.062,19.5635,10.66,1
13.3871,0.8303,1.4587,0.062,19.5635,13.7513,0.8528,1.4984,0.062,20.0957,10.95,1
13.7513,0.8528,1.4984,0.062,20.0957,13.676,0.8482,1.4902,0.062,19.9856,10.89,1
13.676,0.8482,1.4902,0.062,19.9856,13.8016,0.856,1.5038,0.062,20.1691,10.99,0
13.8016,0.856,1.5038,0.062,20.1691,13.5881,0.8427,1.4806,0.062,19.8571,10.82,1
13.5881,0.8427,1.4806,0.062,19.8571,13.7011,0.8497,1.4929,0.062,20.0223,10.91,1
13.7011,0.8497,1.4929,0.062,20.0223,13.8769,0.8606,1.5121,0.062,20.2792,11.05,1
13.8769,0.8606,1.5121,0.062,20.2792,14.0653,0.8723,1.5326,0.062,20.5545,11.2,1
14.0653,0.8723,1.5326,0.062,20.5545,14.2034,0.8809,1.5476,0.062,20.7563,11.31,1
14.2034,0.8809,1.5476,0.062,20.7563,14.9695,0.9284,1.6311,0.062,21.8758,11.92,0
14.9695,0.9284,1.6311,0.062,21.8758,15.0197,0.9315,1.6366,0.062,21.9492,11.96,0
15.0197,0.9315,1.6366,0.062,21.9492,15.1327,0.9385,1.6489,0.062,22.1144,12.05,0
15.1327,0.9385,1.6489,0.062,22.1144,15.07,0.9346,1.6421,0.062,22.0226,12.0,0
15.07,0.9346,1.6421,0.062,22.0226,15.07,0.9346,1.6421,0.062,22.0226,12.0,1
15.07,0.9346,1.6421,0.062,22.0226,14.9569,0.9276,1.6297,0.062,21.8575,11.91,1
14.9569,0.9276,1.6297,0.062,21.8575,14.2034,0.8809,1.5476,0.062,20.7563,11.31,1
14.2034,0.8809,1.5476,0.062,20.7563,14.6304,0.9074,1.5942,0.062,21.3803,11.65,1
14.6304,0.9074,1.5942,0.062,21.3803,13.8895,0.8614,1.5134,0.062,20.2975,11.06,1
13.8895,0.8614,1.5134,0.062,20.2975,13.5755,0.8419,1.4792,0.062,19.8387,10.81,1
13.5755,0.8419,1.4792,0.062,19.8387,13.563,0.8412,1.4778,0.062,19.8204,10.8,1
13.563,0.8412,1.4778,0.062,19.8204,13.3118,0.8256,1.4505,0.062,19.4533,10.6,1
13.3118,0.8256,1.4505,0.062,19.4533,13.7262,0.8513,1.4956,0.062,20.059,10.93,1
13.7262,0.8513,1.4956,0.062,20.059,13.4499,0.8342,1.4655,0.062,19.6552,10.71,1
13.4499,0.8342,1.4655,0.062,19.6552,13.3244,0.8264,1.4518,0.062,19.4717,10.61,1
13.3244,0.8264,1.4518,0.062,19.4717,13.4751,0.8357,1.4683,0.062,19.6919,10.73,1
13.4751,0.8357,1.4683,0.062,19.6919,13.676,0.8482,1.4902,0.062,19.9856,10.89,1
13.676,0.8482,1.4902,0.062,19.9856,13.5755,0.8419,1.4792,0.062,19.8387,10.81,1
13.5755,0.8419,1.4792,0.062,19.8387,13.3746,0.8295,1.4573,0.062,19.5451,10.65,1
13.3746,0.8295,1.4573,0.062,19.5451,13.2113,0.8194,1.4395,0.062,19.3065,10.52,1
13.2113,0.8194,1.4395,0.062,19.3065,13.1862,0.8178,1.4368,0.062,19.2698,10.5,1
13.1862,0.8178,1.4368,0.062,19.2698,13.362,0.8287,1.456,0.062,19.5267,10.64,1
13.362,0.8287,1.456,0.062,19.5267,13.4499,0.8342,1.4655,0.062,19.6552,10.71,1
13.4499,0.8342,1.4655,0.062,19.6552,13.2992,0.8248,1.4491,0.062,19.435,10.59,1
13.2992,0.8248,1.4491,0.062,19.435,12.9978,0.8061,1.4163,0.062,18.9945,10.35,1
12.9978,0.8061,1.4163,0.062,18.9945,12.8597,0.7975,1.4012,0.062,18.7927,10.24,1
12.8597,0.7975,1.4012,0.062,18.7927,13.1109,0.8131,1.4286,0.062,19.1597,10.44,1
13.1109,0.8131,1.4286,0.062,19.1597,12.8095,0.7944,1.3957,0.062,18.7193,10.2,1
12.8095,0.7944,1.3957,0.062,18.7193,12.822,0.7952,1.3971,0.062,18.7376,10.21,1
12.822,0.7952,1.3971,0.062,18.7376,12.9476,0.803,1.4108,0.062,18.9211,10.31,1
12.9476,0.803,1.4108,0.062,18.9211,12.7592,0.7913,1.3903,0.062,18.6458,10.16,1
12.7592,0.7913,1.3903,0.062,18.6458,12.3071,0.7633,1.341,0.062,17.9852,9.8,1
12.3071,0.7633,1.341,0.062,17.9852,12.4704,0.7734,1.3588,0.062,18.2237,9.93,1
12.4704,0.7734,1.3588,0.062,18.2237,12.5206,0.7765,1.3643,0.062,18.2972,9.97,1
12.5206,0.7765,1.3643,0.062,18.2972,12.7969,0.7937,1.3944,0.062,18.7009,10.19,1
12.7969,0.7937,1.3944,0.062,18.7009,12.7969,0.7937,1.3944,0.062,18.7009,10.19,1
12.7969,0.7937,1.3944,0.062,18.7009,13.0355,0.8084,1.4204,0.062,19.0496,10.38,1
13.0355,0.8084,1.4204,0.062,19.0496,12.822,0.7952,1.3971,0.062,18.7376,10.21,1
12.822,0.7952,1.3971,0.062,18.7376,12.3699,0.7672,1.3479,0.062,18.0769,9.85,1
12.3699,0.7672,1.3479,0.062,18.0769,12.5583,0.7789,1.3684,0.062,18.3522,10.0,1
12.5583,0.7789,1.3684,0.062,18.3522,9.8764,0.7603,1.3185,0.077,12.4747,10.02,1
