@RELATION "B3 - GFSA3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
315.8598,321.8648,302.649,308.6539,274919.5468,302.649,320.6638,300.247,315.8598,228265.3426,1
302.649,320.6638,300.247,315.8598,228265.3426,318.2618,323.0658,300.247,303.85,319266.5423,1
318.2618,323.0658,300.247,303.85,319266.5423,308.6539,319.4628,306.2519,307.4529,203421.8306,1
308.6539,319.4628,306.2519,307.4529,203421.8306,309.8549,319.4628,303.85,312.2569,265241.4818,1
309.8549,319.4628,303.85,312.2569,265241.4818,293.0411,308.6539,293.0411,307.4529,232604.4283,1
293.0411,308.6539,293.0411,307.4529,232604.4283,296.644,318.2618,296.644,306.2519,402932.0152,1
296.644,318.2618,296.644,306.2519,402932.0152,287.0361,308.6539,284.6342,306.2519,302502.8196,1
287.0361,308.6539,284.6342,306.2519,302502.8196,281.0312,287.0361,272.6243,278.6292,245320.825,1
281.0312,287.0361,272.6243,278.6292,245320.825,284.6342,289.4381,282.2322,285.8351,169278.6589,1
284.6342,289.4381,282.2322,285.8351,169278.6589,270.2223,285.8351,269.0213,282.2322,182283.9094,1
270.2223,285.8351,269.0213,282.2322,182283.9094,279.8302,282.2322,267.8203,272.6243,177698.7679,1
279.8302,282.2322,267.8203,272.6243,177698.7679,293.0411,294.2421,277.4282,279.8302,186531.2041,1
293.0411,294.2421,277.4282,279.8302,186531.2041,312.2569,312.2569,296.644,299.046,218292.5369,1
312.2569,312.2569,296.644,299.046,218292.5369,289.4381,306.2519,289.4381,305.051,264759.895,1
289.4381,306.2519,289.4381,305.051,264759.895,272.6243,279.8302,269.0213,278.6292,296690.2054,1
272.6243,279.8302,269.0213,278.6292,296690.2054,267.8203,279.8302,264.2174,273.8253,236187.3617,1
267.8203,279.8302,264.2174,273.8253,236187.3617,267.8203,275.0263,264.2174,272.6243,139239.7162,1
267.8203,275.0263,264.2174,272.6243,139239.7162,279.8302,282.2322,272.6243,275.0263,203998.6224,1
279.8302,282.2322,272.6243,275.0263,203998.6224,308.6539,309.8549,283.4332,284.6342,446236.4109,1
308.6539,309.8549,283.4332,284.6342,446236.4109,313.4579,318.2618,302.649,309.8549,295369.3762,1
313.4579,318.2618,302.649,309.8549,295369.3762,301.448,318.2618,300.247,314.6589,291885.6945,1
301.448,318.2618,300.247,314.6589,291885.6945,308.6539,315.8598,297.845,305.051,342930.5754,1
308.6539,315.8598,297.845,305.051,342930.5754,303.85,311.0559,300.247,301.448,207182.0847,1
303.85,311.0559,300.247,301.448,207182.0847,345.8845,345.8845,311.0559,313.4579,490930.0376,1
345.8845,345.8845,311.0559,313.4579,490930.0376,360.2964,368.7033,339.8796,339.8796,602075.7182,0
360.2964,368.7033,339.8796,339.8796,602075.7182,335.0757,371.1053,333.8747,369.9043,520458.6671,0
335.0757,371.1053,333.8747,369.9043,520458.6671,362.6984,363.8994,333.8747,336.2766,527746.8914,0
362.6984,363.8994,333.8747,336.2766,527746.8914,373.5073,387.9191,363.8994,365.1004,743408.8276,0
373.5073,387.9191,363.8994,365.1004,743408.8276,431.1547,433.5567,385.5172,390.3211,1306697.0812,0
431.1547,433.5567,385.5172,390.3211,1306697.0812,426.3507,444.3656,413.1399,438.3606,1145459.3353,0
426.3507,444.3656,413.1399,438.3606,1145459.3353,392.7231,431.1547,387.9191,426.3507,662387.2278,0
392.7231,431.1547,387.9191,426.3507,662387.2278,414.3409,428.7527,395.1251,399.929,904167.5679,0
414.3409,428.7527,395.1251,399.929,904167.5679,438.3606,440.7626,427.5517,428.7527,625847.446,0
438.3606,440.7626,427.5517,428.7527,625847.446,443.1646,451.5715,426.3507,445.5666,486188.4499,0
443.1646,451.5715,426.3507,445.5666,486188.4499,468.3853,468.3853,437.1596,446.7675,588401.8349,0
468.3853,468.3853,437.1596,446.7675,588401.8349,493.6061,514.0229,473.1893,476.7922,1632098.6473,0
493.6061,514.0229,473.1893,476.7922,1632098.6473,490.0031,500.812,475.5913,490.0031,863278.7584,0
490.0031,500.812,475.5913,490.0031,863278.7584,462.3804,488.8021,457.5764,480.3952,933947.9151,0
462.3804,488.8021,457.5764,480.3952,933947.9151,491.2041,492.4051,451.5715,456.3754,923792.693,0
491.2041,492.4051,451.5715,456.3754,923792.693,480.3952,504.415,477.9932,497.209,532133.2299,0
480.3952,504.415,477.9932,497.209,532133.2299,493.6061,494.8071,477.9932,479.1942,514571.9639,0
493.6061,494.8071,477.9932,479.1942,514571.9639,499.611,506.8169,486.4001,497.209,558792.9215,0
499.611,506.8169,486.4001,497.209,558792.9215,492.4051,503.214,486.4001,494.8071,480497.0193,0
492.4051,503.214,486.4001,494.8071,480497.0193,486.4001,510.4199,486.4001,500.812,922529.4248,0
486.4001,510.4199,486.4001,500.812,922529.4248,496.008,505.616,491.2041,494.8071,369010.3028,0
496.008,505.616,491.2041,494.8071,369010.3028,480.3952,500.812,480.3952,496.008,353833.8815,0
480.3952,500.812,480.3952,496.008,353833.8815,469.5863,490.0031,462.3804,486.4001,442041.4814,0
469.5863,490.0031,462.3804,486.4001,442041.4814,479.1942,485.1992,470.7873,475.5913,481862.5033,0
479.1942,485.1992,470.7873,475.5913,481862.5033,474.3903,494.8071,474.3903,488.8021,234962.6284,0
474.3903,494.8071,474.3903,488.8021,234962.6284,536.8416,536.8416,483.9982,486.4001,1271958.3748,0
536.8416,536.8416,483.9982,486.4001,1271958.3748,518.8268,562.0624,512.8219,554.8565,974875.476,0
518.8268,562.0624,512.8219,554.8565,974875.476,566.8663,570.4693,511.6209,522.4298,846691.3572,0
566.8663,570.4693,511.6209,522.4298,846691.3572,550.0525,580.0772,542.8466,570.4693,557730.3547,0
550.0525,580.0772,542.8466,570.4693,557730.3547,551.2535,566.8663,542.8466,551.2535,393981.7927,0
551.2535,566.8663,542.8466,551.2535,393981.7927,538.0426,557.2584,526.0327,552.4545,462428.1878,0
538.0426,557.2584,526.0327,552.4545,462428.1878,542.8466,559.6604,540.4446,544.0476,478412.777,0
542.8466,559.6604,540.4446,544.0476,478412.777,556.0574,560.8614,532.0377,538.0426,434962.3516,0
556.0574,560.8614,532.0377,538.0426,434962.3516,545.2486,565.6654,539.2436,559.6604,319238.607,0
545.2486,565.6654,539.2436,559.6604,319238.607,564.4644,569.2683,540.4446,542.8466,427422.5678,0
564.4644,569.2683,540.4446,542.8466,427422.5678,550.0525,570.4693,545.2486,569.2683,327992.5828,0
550.0525,570.4693,545.2486,569.2683,327992.5828,565.6654,568.0673,540.4446,552.4545,402563.4604,0
565.6654,568.0673,540.4446,552.4545,402563.4604,546.4495,569.2683,534.4397,568.0673,482386.3803,0
546.4495,569.2683,534.4397,568.0673,482386.3803,535.6407,550.0525,535.6407,544.0476,295726.1575,0
535.6407,550.0525,535.6407,544.0476,295726.1575,534.4397,556.0574,530.8367,540.4446,320758.0893,0
534.4397,556.0574,530.8367,540.4446,320758.0893,490.0031,546.4495,487.6011,541.6456,705803.2649,0
490.0031,546.4495,487.6011,541.6456,705803.2649,492.4051,517.6258,473.1893,497.209,706969.2882,0
492.4051,517.6258,473.1893,497.209,706969.2882,455.1745,503.214,451.5715,496.008,801458.7409,0
455.1745,503.214,451.5715,496.008,801458.7409,468.3853,483.9982,461.1794,467.1843,434371.8628,0
468.3853,483.9982,461.1794,467.1843,434371.8628,468.3853,481.5962,455.1745,471.9883,407636.292,0
468.3853,481.5962,455.1745,471.9883,407636.292,480.3952,483.9982,468.3853,474.3903,615762.4161,0
480.3952,483.9982,468.3853,474.3903,615762.4161,494.8071,499.611,475.5913,487.6011,471395.1216,0
494.8071,499.611,475.5913,487.6011,471395.1216,536.8416,536.8416,498.41,499.611,597831.546,0
536.8416,536.8416,498.41,499.611,597831.546,546.4495,547.6505,517.6258,532.0377,433339.0465,0
546.4495,547.6505,517.6258,532.0377,433339.0465,527.2337,562.0624,526.0327,550.0525,457235.8212,0
527.2337,562.0624,526.0327,550.0525,457235.8212,552.4545,554.8565,529.6357,533.2387,589043.0736,0
552.4545,554.8565,529.6357,533.2387,589043.0736,547.6505,557.2584,536.8416,547.6505,262877.0869,0
