@RELATION "B3 - CIEL3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,19.2935,24.7785,8.6216,1.2843,16.3291,18.5306,23.7986,8.2807,1.2843,15.6833,12.3477,1
18.5306,23.7986,8.2807,1.2843,15.6833,18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,19.1638,24.6119,8.5637,1.2843,16.2193,18.4853,23.7405,8.2605,1.2843,15.6451,12.3175,1
18.4853,23.7405,8.2605,1.2843,15.6451,18.5306,23.7986,8.2807,1.2843,15.6833,18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.7205,24.0426,8.3656,1.2843,15.8441,18.4582,23.7057,8.2483,1.2843,15.6221,12.2995,1
18.4582,23.7057,8.2483,1.2843,15.6221,18.4853,23.7405,8.2605,1.2843,15.6451,18.5306,23.7986,8.2807,1.2843,15.6833,18.6482,23.9497,8.3332,1.2843,15.7829,18.6271,23.9226,8.3238,1.2843,15.765,18.2893,23.4888,8.1729,1.2843,15.4792,12.1869,1
18.2893,23.4888,8.1729,1.2843,15.4792,18.4582,23.7057,8.2483,1.2843,15.6221,18.4853,23.7405,8.2605,1.2843,15.6451,18.5306,23.7986,8.2807,1.2843,15.6833,18.6482,23.9497,8.3332,1.2843,15.7829,17.9636,23.0705,8.0273,1.2843,15.2035,11.9699,1
17.9636,23.0705,8.0273,1.2843,15.2035,18.2893,23.4888,8.1729,1.2843,15.4792,18.4582,23.7057,8.2483,1.2843,15.6221,18.4853,23.7405,8.2605,1.2843,15.6451,18.5306,23.7986,8.2807,1.2843,15.6833,18.0782,23.2177,8.0785,1.2843,15.3005,12.0463,1
18.0782,23.2177,8.0785,1.2843,15.3005,17.9636,23.0705,8.0273,1.2843,15.2035,18.2893,23.4888,8.1729,1.2843,15.4792,18.4582,23.7057,8.2483,1.2843,15.6221,18.4853,23.7405,8.2605,1.2843,15.6451,18.0782,23.2177,8.0785,1.2843,15.3005,12.0463,1
18.0782,23.2177,8.0785,1.2843,15.3005,18.0782,23.2177,8.0785,1.2843,15.3005,17.9636,23.0705,8.0273,1.2843,15.2035,18.2893,23.4888,8.1729,1.2843,15.4792,18.4582,23.7057,8.2483,1.2843,15.6221,17.7767,22.8304,7.9438,1.2843,15.0453,11.8453,1
17.7767,22.8304,7.9438,1.2843,15.0453,18.0782,23.2177,8.0785,1.2843,15.3005,18.0782,23.2177,8.0785,1.2843,15.3005,17.9636,23.0705,8.0273,1.2843,15.2035,18.2893,23.4888,8.1729,1.2843,15.4792,17.837,22.9079,7.9707,1.2843,15.0963,11.8855,1
17.837,22.9079,7.9707,1.2843,15.0963,17.7767,22.8304,7.9438,1.2843,15.0453,18.0782,23.2177,8.0785,1.2843,15.3005,18.0782,23.2177,8.0785,1.2843,15.3005,17.9636,23.0705,8.0273,1.2843,15.2035,17.7918,22.8498,7.9505,1.2843,15.058,11.8554,1
