@RELATION "B3 - ELET6"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
12.9987,0.6314,18.4312,0.0486,59.5455,13.1655,0.6395,18.6679,0.0486,60.31,12.9554,0.6293,18.3699,0.0486,59.3473,12.9863,0.6308,18.4137,0.0486,59.4888,13.3571,0.6488,18.9395,0.0486,61.1877,12.8565,0.6245,18.2296,0.0486,58.8942,20.8,0
12.8565,0.6245,18.2296,0.0486,58.8942,12.9987,0.6314,18.4312,0.0486,59.5455,13.1655,0.6395,18.6679,0.0486,60.31,12.9554,0.6293,18.3699,0.0486,59.3473,12.9863,0.6308,18.4137,0.0486,59.4888,11.404,0.5539,16.17,0.0486,52.2403,18.45,0
11.404,0.5539,16.17,0.0486,52.2403,12.8565,0.6245,18.2296,0.0486,58.8942,12.9987,0.6314,18.4312,0.0486,59.5455,13.1655,0.6395,18.6679,0.0486,60.31,12.9554,0.6293,18.3699,0.0486,59.3473,11.1629,0.5422,15.8282,0.0486,51.1361,18.06,0
11.1629,0.5422,15.8282,0.0486,51.1361,11.404,0.5539,16.17,0.0486,52.2403,12.8565,0.6245,18.2296,0.0486,58.8942,12.9987,0.6314,18.4312,0.0486,59.5455,13.1655,0.6395,18.6679,0.0486,60.31,10.8909,0.529,15.4426,0.0486,49.8902,17.62,0
10.8909,0.529,15.4426,0.0486,49.8902,11.1629,0.5422,15.8282,0.0486,51.1361,11.404,0.5539,16.17,0.0486,52.2403,12.8565,0.6245,18.2296,0.0486,58.8942,12.9987,0.6314,18.4312,0.0486,59.5455,10.6993,0.5197,15.1709,0.0486,49.0125,17.31,0
10.6993,0.5197,15.1709,0.0486,49.0125,10.8909,0.529,15.4426,0.0486,49.8902,11.1629,0.5422,15.8282,0.0486,51.1361,11.404,0.5539,16.17,0.0486,52.2403,12.8565,0.6245,18.2296,0.0486,58.8942,10.8477,0.5269,15.3813,0.0486,49.692,17.55,0
10.8477,0.5269,15.3813,0.0486,49.692,10.6993,0.5197,15.1709,0.0486,49.0125,10.8909,0.529,15.4426,0.0486,49.8902,11.1629,0.5422,15.8282,0.0486,51.1361,11.404,0.5539,16.17,0.0486,52.2403,11.0825,0.5383,15.7143,0.0486,50.768,17.93,0
11.0825,0.5383,15.7143,0.0486,50.768,10.8477,0.5269,15.3813,0.0486,49.692,10.6993,0.5197,15.1709,0.0486,49.0125,10.8909,0.529,15.4426,0.0486,49.8902,11.1629,0.5422,15.8282,0.0486,51.1361,10.7982,0.5245,15.3111,0.0486,49.4655,17.47,0
10.7982,0.5245,15.3111,0.0486,49.4655,11.0825,0.5383,15.7143,0.0486,50.768,10.8477,0.5269,15.3813,0.0486,49.692,10.6993,0.5197,15.1709,0.0486,49.0125,10.8909,0.529,15.4426,0.0486,49.8902,11.1134,0.5282,14.6704,0.0475,57.5389,17.9,0
11.1134,0.5282,14.6704,0.0475,57.5389,10.7982,0.5245,15.3111,0.0486,49.4655,11.0825,0.5383,15.7143,0.0486,50.768,10.8477,0.5269,15.3813,0.0486,49.692,10.6993,0.5197,15.1709,0.0486,49.0125,11.6101,0.5518,15.3261,0.0475,60.1104,18.7,0
