@RELATION "B3 - FHER3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
11.1946,1.5101,0.152,0.1349,2.3359,11.1946,1.5101,0.152,0.1349,2.3359,11.2536,1.5181,0.1528,0.1349,2.3482,11.1609,1.5056,0.1516,0.1349,2.3289,11.1272,1.5011,0.1511,0.1349,2.3219,11.085,1.4954,0.1506,0.1349,2.3131,13.15,0
11.085,1.4954,0.1506,0.1349,2.3131,11.1946,1.5101,0.152,0.1349,2.3359,11.1946,1.5101,0.152,0.1349,2.3359,11.2536,1.5181,0.1528,0.1349,2.3482,11.1609,1.5056,0.1516,0.1349,2.3289,11.1693,1.5067,0.1517,0.1349,2.3307,13.25,0
11.1693,1.5067,0.1517,0.1349,2.3307,11.085,1.4954,0.1506,0.1349,2.3131,11.1946,1.5101,0.152,0.1349,2.3359,11.1946,1.5101,0.152,0.1349,2.3359,11.2536,1.5181,0.1528,0.1349,2.3482,11.2452,1.517,0.1527,0.1349,2.3465,13.34,0
11.2452,1.517,0.1527,0.1349,2.3465,11.1693,1.5067,0.1517,0.1349,2.3307,11.085,1.4954,0.1506,0.1349,2.3131,11.1946,1.5101,0.152,0.1349,2.3359,11.1946,1.5101,0.152,0.1349,2.3359,11.4644,1.5465,0.1557,0.1349,2.3922,13.6,0
11.4644,1.5465,0.1557,0.1349,2.3922,11.2452,1.517,0.1527,0.1349,2.3465,11.1693,1.5067,0.1517,0.1349,2.3307,11.085,1.4954,0.1506,0.1349,2.3131,11.1946,1.5101,0.152,0.1349,2.3359,11.7341,1.5829,0.1594,0.1349,2.4485,13.92,0
11.7341,1.5829,0.1594,0.1349,2.4485,11.4644,1.5465,0.1557,0.1349,2.3922,11.2452,1.517,0.1527,0.1349,2.3465,11.1693,1.5067,0.1517,0.1349,2.3307,11.085,1.4954,0.1506,0.1349,2.3131,11.7088,1.5795,0.159,0.1349,2.4432,13.89,0
11.7088,1.5795,0.159,0.1349,2.4432,11.7341,1.5829,0.1594,0.1349,2.4485,11.4644,1.5465,0.1557,0.1349,2.3922,11.2452,1.517,0.1527,0.1349,2.3465,11.1693,1.5067,0.1517,0.1349,2.3307,11.8269,1.5954,0.1606,0.1349,2.4679,14.03,0
11.8269,1.5954,0.1606,0.1349,2.4679,11.7088,1.5795,0.159,0.1349,2.4432,11.7341,1.5829,0.1594,0.1349,2.4485,11.4644,1.5465,0.1557,0.1349,2.3922,11.2452,1.517,0.1527,0.1349,2.3465,11.7931,1.5909,0.1602,0.1349,2.4608,13.99,0
11.7931,1.5909,0.1602,0.1349,2.4608,11.8269,1.5954,0.1606,0.1349,2.4679,11.7088,1.5795,0.159,0.1349,2.4432,11.7341,1.5829,0.1594,0.1349,2.4485,11.4644,1.5465,0.1557,0.1349,2.3922,11.8437,1.5977,0.1609,0.1349,2.4714,14.05,0
11.8437,1.5977,0.1609,0.1349,2.4714,11.7931,1.5909,0.1602,0.1349,2.4608,11.8269,1.5954,0.1606,0.1349,2.4679,11.7088,1.5795,0.159,0.1349,2.4432,11.7341,1.5829,0.1594,0.1349,2.4485,11.7931,1.5909,0.1602,0.1349,2.4608,13.99,0
11.7931,1.5909,0.1602,0.1349,2.4608,11.8437,1.5977,0.1609,0.1349,2.4714,11.7931,1.5909,0.1602,0.1349,2.4608,11.8269,1.5954,0.1606,0.1349,2.4679,11.7088,1.5795,0.159,0.1349,2.4432,11.7763,1.5886,0.1599,0.1349,2.4573,13.97,0
11.7763,1.5886,0.1599,0.1349,2.4573,11.7931,1.5909,0.1602,0.1349,2.4608,11.8437,1.5977,0.1609,0.1349,2.4714,11.7931,1.5909,0.1602,0.1349,2.4608,11.8269,1.5954,0.1606,0.1349,2.4679,11.7594,1.5863,0.1597,0.1349,2.4538,13.95,0
11.7594,1.5863,0.1597,0.1349,2.4538,11.7763,1.5886,0.1599,0.1349,2.4573,11.7931,1.5909,0.1602,0.1349,2.4608,11.8437,1.5977,0.1609,0.1349,2.4714,11.7931,1.5909,0.1602,0.1349,2.4608,11.8859,1.6034,0.1614,0.1349,2.4802,14.1,0
11.8859,1.6034,0.1614,0.1349,2.4802,11.7594,1.5863,0.1597,0.1349,2.4538,11.7763,1.5886,0.1599,0.1349,2.4573,11.7931,1.5909,0.1602,0.1349,2.4608,11.8437,1.5977,0.1609,0.1349,2.4714,11.9617,1.6136,0.1625,0.1349,2.496,14.19,0
11.9617,1.6136,0.1625,0.1349,2.496,11.8859,1.6034,0.1614,0.1349,2.4802,11.7594,1.5863,0.1597,0.1349,2.4538,11.7763,1.5886,0.1599,0.1349,2.4573,11.7931,1.5909,0.1602,0.1349,2.4608,11.987,1.617,0.1628,0.1349,2.5013,14.22,0
11.987,1.617,0.1628,0.1349,2.5013,11.9617,1.6136,0.1625,0.1349,2.496,11.8859,1.6034,0.1614,0.1349,2.4802,11.7594,1.5863,0.1597,0.1349,2.4538,11.7763,1.5886,0.1599,0.1349,2.4573,11.7678,1.5875,0.1598,0.1349,2.4555,13.96,0
11.7678,1.5875,0.1598,0.1349,2.4555,11.987,1.617,0.1628,0.1349,2.5013,11.9617,1.6136,0.1625,0.1349,2.496,11.8859,1.6034,0.1614,0.1349,2.4802,11.7594,1.5863,0.1597,0.1349,2.4538,11.4391,1.5431,0.1554,0.1349,2.3869,13.57,0
11.4391,1.5431,0.1554,0.1349,2.3869,11.7678,1.5875,0.1598,0.1349,2.4555,11.987,1.617,0.1628,0.1349,2.5013,11.9617,1.6136,0.1625,0.1349,2.496,11.8859,1.6034,0.1614,0.1349,2.4802,11.2958,1.5238,0.1534,0.1349,2.357,13.4,0
11.2958,1.5238,0.1534,0.1349,2.357,11.4391,1.5431,0.1554,0.1349,2.3869,11.7678,1.5875,0.1598,0.1349,2.4555,11.987,1.617,0.1628,0.1349,2.5013,11.9617,1.6136,0.1625,0.1349,2.496,11.2115,1.5124,0.1523,0.1349,2.3394,13.3,0
11.2115,1.5124,0.1523,0.1349,2.3394,11.2958,1.5238,0.1534,0.1349,2.357,11.4391,1.5431,0.1554,0.1349,2.3869,11.7678,1.5875,0.1598,0.1349,2.4555,11.987,1.617,0.1628,0.1349,2.5013,11.1272,1.5011,0.1511,0.1349,2.3219,13.2,0
11.1272,1.5011,0.1511,0.1349,2.3219,11.2115,1.5124,0.1523,0.1349,2.3394,11.2958,1.5238,0.1534,0.1349,2.357,11.4391,1.5431,0.1554,0.1349,2.3869,11.7678,1.5875,0.1598,0.1349,2.4555,12.0335,1.4821,0.1448,0.1232,2.58,13.12,0
12.0335,1.4821,0.1448,0.1232,2.58,11.1272,1.5011,0.1511,0.1349,2.3219,11.2115,1.5124,0.1523,0.1349,2.3394,11.2958,1.5238,0.1534,0.1349,2.357,11.4391,1.5431,0.1554,0.1349,2.3869,11.8684,1.4618,0.1428,0.1232,2.5446,12.94,0
11.8684,1.4618,0.1428,0.1232,2.5446,12.0335,1.4821,0.1448,0.1232,2.58,11.1272,1.5011,0.1511,0.1349,2.3219,11.2115,1.5124,0.1523,0.1349,2.3394,11.2958,1.5238,0.1534,0.1349,2.357,11.1989,1.3793,0.1348,0.1232,2.401,12.21,0
11.1989,1.3793,0.1348,0.1232,2.401,11.8684,1.4618,0.1428,0.1232,2.5446,12.0335,1.4821,0.1448,0.1232,2.58,11.1272,1.5011,0.1511,0.1349,2.3219,11.2115,1.5124,0.1523,0.1349,2.3394,11.1622,1.3748,0.1343,0.1232,2.3931,12.17,0
11.1622,1.3748,0.1343,0.1232,2.3931,11.1989,1.3793,0.1348,0.1232,2.401,11.8684,1.4618,0.1428,0.1232,2.5446,12.0335,1.4821,0.1448,0.1232,2.58,11.1272,1.5011,0.1511,0.1349,2.3219,11.1163,1.3691,0.1338,0.1232,2.3833,12.12,0
11.1163,1.3691,0.1338,0.1232,2.3833,11.1622,1.3748,0.1343,0.1232,2.3931,11.1989,1.3793,0.1348,0.1232,2.401,11.8684,1.4618,0.1428,0.1232,2.5446,12.0335,1.4821,0.1448,0.1232,2.58,11.2447,1.3849,0.1353,0.1232,2.4108,12.26,0
11.2447,1.3849,0.1353,0.1232,2.4108,11.1163,1.3691,0.1338,0.1232,2.3833,11.1622,1.3748,0.1343,0.1232,2.3931,11.1989,1.3793,0.1348,0.1232,2.401,11.8684,1.4618,0.1428,0.1232,2.5446,11.6024,1.429,0.1396,0.1232,2.4875,12.65,0
11.6024,1.429,0.1396,0.1232,2.4875,11.2447,1.3849,0.1353,0.1232,2.4108,11.1163,1.3691,0.1338,0.1232,2.3833,11.1622,1.3748,0.1343,0.1232,2.3931,11.1989,1.3793,0.1348,0.1232,2.401,11.4557,1.4109,0.1379,0.1232,2.4561,12.49,0
11.4557,1.4109,0.1379,0.1232,2.4561,11.6024,1.429,0.1396,0.1232,2.4875,11.2447,1.3849,0.1353,0.1232,2.4108,11.1163,1.3691,0.1338,0.1232,2.3833,11.1622,1.3748,0.1343,0.1232,2.3931,11.208,1.3804,0.1349,0.1232,2.403,12.22,0
11.208,1.3804,0.1349,0.1232,2.403,11.4557,1.4109,0.1379,0.1232,2.4561,11.6024,1.429,0.1396,0.1232,2.4875,11.2447,1.3849,0.1353,0.1232,2.4108,11.1163,1.3691,0.1338,0.1232,2.3833,10.8228,1.333,0.1302,0.1232,2.3204,11.8,0
10.8228,1.333,0.1302,0.1232,2.3204,11.208,1.3804,0.1349,0.1232,2.403,11.4557,1.4109,0.1379,0.1232,2.4561,11.6024,1.429,0.1396,0.1232,2.4875,11.2447,1.3849,0.1353,0.1232,2.4108,11.2722,1.3883,0.1356,0.1232,2.4167,12.29,0
11.2722,1.3883,0.1356,0.1232,2.4167,10.8228,1.333,0.1302,0.1232,2.3204,11.208,1.3804,0.1349,0.1232,2.403,11.4557,1.4109,0.1379,0.1232,2.4561,11.6024,1.429,0.1396,0.1232,2.4875,10.9604,1.3499,0.1319,0.1232,2.3499,11.95,0
