@RELATION "B3 - PETR4"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
9.596,0.9611,1.7279,0.1002,8.8263,9.5447,0.956,1.7187,0.1002,8.7792,9.7851,0.9801,1.762,0.1002,9.0003,9.6275,0.9643,1.7336,0.1002,8.8553,9.659,0.9675,1.7393,0.1002,8.8843,24.51,0
9.659,0.9675,1.7393,0.1002,8.8843,9.596,0.9611,1.7279,0.1002,8.8263,9.5447,0.956,1.7187,0.1002,8.7792,9.7851,0.9801,1.762,0.1002,9.0003,9.5644,0.958,1.7223,0.1002,8.7973,24.27,0
9.5644,0.958,1.7223,0.1002,8.7973,9.659,0.9675,1.7393,0.1002,8.8843,9.596,0.9611,1.7279,0.1002,8.8263,9.5447,0.956,1.7187,0.1002,8.7792,9.5014,0.9517,1.7109,0.1002,8.7393,24.11,0
9.5014,0.9517,1.7109,0.1002,8.7393,9.5644,0.958,1.7223,0.1002,8.7973,9.659,0.9675,1.7393,0.1002,8.8843,9.596,0.9611,1.7279,0.1002,8.8263,9.3792,0.9394,1.6889,0.1002,8.6269,23.8,0
9.3792,0.9394,1.6889,0.1002,8.6269,9.5014,0.9517,1.7109,0.1002,8.7393,9.5644,0.958,1.7223,0.1002,8.7973,9.659,0.9675,1.7393,0.1002,8.8843,9.3398,0.9355,1.6818,0.1002,8.5907,23.7,0
9.3398,0.9355,1.6818,0.1002,8.5907,9.3792,0.9394,1.6889,0.1002,8.6269,9.5014,0.9517,1.7109,0.1002,8.7393,9.5644,0.958,1.7223,0.1002,8.7973,9.5408,0.9556,1.718,0.1002,8.7756,24.21,0
9.5408,0.9556,1.718,0.1002,8.7756,9.3398,0.9355,1.6818,0.1002,8.5907,9.3792,0.9394,1.6889,0.1002,8.6269,9.5014,0.9517,1.7109,0.1002,8.7393,9.3792,0.9394,1.6889,0.1002,8.6269,23.8,0
9.3792,0.9394,1.6889,0.1002,8.6269,9.5408,0.9556,1.718,0.1002,8.7756,9.3398,0.9355,1.6818,0.1002,8.5907,9.3792,0.9394,1.6889,0.1002,8.6269,9.2177,0.9233,1.6598,0.1002,8.4783,23.39,0
9.2177,0.9233,1.6598,0.1002,8.4783,9.3792,0.9394,1.6889,0.1002,8.6269,9.5408,0.9556,1.718,0.1002,8.7756,9.3398,0.9355,1.6818,0.1002,8.5907,9.1901,0.9205,1.6549,0.1002,8.4529,23.32,0
9.1901,0.9205,1.6549,0.1002,8.4529,9.2177,0.9233,1.6598,0.1002,8.4783,9.3792,0.9394,1.6889,0.1002,8.6269,9.5408,0.9556,1.718,0.1002,8.7756,9.2019,0.9217,1.657,0.1002,8.4638,23.35,0
