@RELATION "B3 - MDIA3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
15.3818,2.7776,3.1319,0.1806,15.0993,15.12,2.7303,3.0786,0.1806,14.8423,15.3163,2.7657,3.1186,0.1806,15.0351,15.3163,2.7657,3.1186,0.1806,15.0351,15.2384,2.7517,3.1027,0.1806,14.9586,16.3,1
15.2384,2.7517,3.1027,0.1806,14.9586,15.3818,2.7776,3.1319,0.1806,15.0993,15.12,2.7303,3.0786,0.1806,14.8423,15.3163,2.7657,3.1186,0.1806,15.0351,15.1138,2.7292,3.0774,0.1806,14.8362,16.1667,1
15.1138,2.7292,3.0774,0.1806,14.8362,15.2384,2.7517,3.1027,0.1806,14.9586,15.3818,2.7776,3.1319,0.1806,15.0993,15.12,2.7303,3.0786,0.1806,14.8423,15.1231,2.7308,3.0793,0.1806,14.8454,16.1767,1
15.1231,2.7308,3.0793,0.1806,14.8454,15.1138,2.7292,3.0774,0.1806,14.8362,15.2384,2.7517,3.1027,0.1806,14.9586,15.3818,2.7776,3.1319,0.1806,15.0993,15.2073,2.746,3.0964,0.1806,14.928,16.2667,1
15.2073,2.746,3.0964,0.1806,14.928,15.1231,2.7308,3.0793,0.1806,14.8454,15.1138,2.7292,3.0774,0.1806,14.8362,15.2384,2.7517,3.1027,0.1806,14.9586,15.2696,2.7573,3.1091,0.1806,14.9892,16.3333,1
15.2696,2.7573,3.1091,0.1806,14.9892,15.2073,2.746,3.0964,0.1806,14.928,15.1231,2.7308,3.0793,0.1806,14.8454,15.1138,2.7292,3.0774,0.1806,14.8362,15.0203,2.7123,3.0583,0.1806,14.7445,16.0667,1
15.0203,2.7123,3.0583,0.1806,14.7445,15.2696,2.7573,3.1091,0.1806,14.9892,15.2073,2.746,3.0964,0.1806,14.928,15.1231,2.7308,3.0793,0.1806,14.8454,15.1107,2.7286,3.0767,0.1806,14.8332,16.1633,1
15.1107,2.7286,3.0767,0.1806,14.8332,15.0203,2.7123,3.0583,0.1806,14.7445,15.2696,2.7573,3.1091,0.1806,14.9892,15.2073,2.746,3.0964,0.1806,14.928,15.0951,2.7258,3.0735,0.1806,14.8179,16.1467,1
15.0951,2.7258,3.0735,0.1806,14.8179,15.1107,2.7286,3.0767,0.1806,14.8332,15.0203,2.7123,3.0583,0.1806,14.7445,15.2696,2.7573,3.1091,0.1806,14.9892,15.4441,2.7888,3.1446,0.1806,15.1605,16.52,1
15.4441,2.7888,3.1446,0.1806,15.1605,15.0951,2.7258,3.0735,0.1806,14.8179,15.1107,2.7286,3.0767,0.1806,14.8332,15.0203,2.7123,3.0583,0.1806,14.7445,15.5812,2.8136,3.1725,0.1806,15.2951,16.6667,1
15.5812,2.8136,3.1725,0.1806,15.2951,15.4441,2.7888,3.1446,0.1806,15.1605,15.0951,2.7258,3.0735,0.1806,14.8179,15.1107,2.7286,3.0767,0.1806,14.8332,15.3662,2.7747,3.1287,0.1806,15.084,16.4367,1
15.3662,2.7747,3.1287,0.1806,15.084,15.5812,2.8136,3.1725,0.1806,15.2951,15.4441,2.7888,3.1446,0.1806,15.1605,15.0951,2.7258,3.0735,0.1806,14.8179,15.2543,2.7933,3.1694,0.1831,14.4656,17.4167,1
15.2543,2.7933,3.1694,0.1831,14.4656,15.3662,2.7747,3.1287,0.1806,15.084,15.5812,2.8136,3.1725,0.1806,15.2951,15.4441,2.7888,3.1446,0.1806,15.1605,15.8148,2.896,3.2859,0.1831,14.9972,18.0567,1
15.8148,2.896,3.2859,0.1831,14.9972,15.2543,2.7933,3.1694,0.1831,14.4656,15.3662,2.7747,3.1287,0.1806,15.084,15.5812,2.8136,3.1725,0.1806,15.2951,16.0017,2.9302,3.3247,0.1831,15.1743,18.27,1
16.0017,2.9302,3.3247,0.1831,15.1743,15.8148,2.896,3.2859,0.1831,14.9972,15.2543,2.7933,3.1694,0.1831,14.4656,15.3662,2.7747,3.1287,0.1806,15.084,16.0571,2.9404,3.3362,0.1831,15.2269,18.3333,1
16.0571,2.9404,3.3362,0.1831,15.2269,16.0017,2.9302,3.3247,0.1831,15.1743,15.8148,2.896,3.2859,0.1831,14.9972,15.2543,2.7933,3.1694,0.1831,14.4656,16.317,2.9879,3.3902,0.1831,15.4733,18.63,1
16.317,2.9879,3.3902,0.1831,15.4733,16.0571,2.9404,3.3362,0.1831,15.2269,16.0017,2.9302,3.3247,0.1831,15.1743,15.8148,2.896,3.2859,0.1831,14.9972,16.025,2.9345,3.3296,0.1831,15.1965,18.2967,1
16.025,2.9345,3.3296,0.1831,15.1965,16.317,2.9879,3.3902,0.1831,15.4733,16.0571,2.9404,3.3362,0.1831,15.2269,16.0017,2.9302,3.3247,0.1831,15.1743,15.9112,2.9136,3.3059,0.1831,15.0885,18.1667,1
15.9112,2.9136,3.3059,0.1831,15.0885,16.025,2.9345,3.3296,0.1831,15.1965,16.317,2.9879,3.3902,0.1831,15.4733,16.0571,2.9404,3.3362,0.1831,15.2269,15.9112,2.9136,3.3059,0.1831,15.0885,18.1667,1
15.9112,2.9136,3.3059,0.1831,15.0885,15.9112,2.9136,3.3059,0.1831,15.0885,16.025,2.9345,3.3296,0.1831,15.1965,16.317,2.9879,3.3902,0.1831,15.4733,15.9112,2.9136,3.3059,0.1831,15.0885,18.1667,1
15.9112,2.9136,3.3059,0.1831,15.0885,15.9112,2.9136,3.3059,0.1831,15.0885,15.9112,2.9136,3.3059,0.1831,15.0885,16.025,2.9345,3.3296,0.1831,15.1965,15.882,2.9083,3.2998,0.1831,15.0608,18.1333,1
15.882,2.9083,3.2998,0.1831,15.0608,15.9112,2.9136,3.3059,0.1831,15.0885,15.9112,2.9136,3.3059,0.1831,15.0885,15.9112,2.9136,3.3059,0.1831,15.0885,15.9112,2.9136,3.3059,0.1831,15.0885,18.1667,1
15.9112,2.9136,3.3059,0.1831,15.0885,15.882,2.9083,3.2998,0.1831,15.0608,15.9112,2.9136,3.3059,0.1831,15.0885,15.9112,2.9136,3.3059,0.1831,15.0885,16.1506,2.9575,3.3556,0.1831,15.3155,18.44,1
16.1506,2.9575,3.3556,0.1831,15.3155,15.9112,2.9136,3.3059,0.1831,15.0885,15.882,2.9083,3.2998,0.1831,15.0608,15.9112,2.9136,3.3059,0.1831,15.0885,16.5097,3.0232,3.4303,0.1831,15.6561,18.85,1
16.5097,3.0232,3.4303,0.1831,15.6561,16.1506,2.9575,3.3556,0.1831,15.3155,15.9112,2.9136,3.3059,0.1831,15.0885,15.882,2.9083,3.2998,0.1831,15.0608,15.9958,2.9291,3.3235,0.1831,15.1688,18.2633,1
15.9958,2.9291,3.3235,0.1831,15.1688,16.5097,3.0232,3.4303,0.1831,15.6561,16.1506,2.9575,3.3556,0.1831,15.3155,15.9112,2.9136,3.3059,0.1831,15.0885,15.7944,2.8923,3.2816,0.1831,14.9778,18.0333,1
15.7944,2.8923,3.2816,0.1831,14.9778,15.9958,2.9291,3.3235,0.1831,15.1688,16.5097,3.0232,3.4303,0.1831,15.6561,16.1506,2.9575,3.3556,0.1831,15.3155,16.2031,2.9671,3.3666,0.1831,15.3654,18.5,1
16.2031,2.9671,3.3666,0.1831,15.3654,15.7944,2.8923,3.2816,0.1831,14.9778,15.9958,2.9291,3.3235,0.1831,15.1688,16.5097,3.0232,3.4303,0.1831,15.6561,15.809,2.8949,3.2847,0.1831,14.9916,18.05,1
15.809,2.8949,3.2847,0.1831,14.9916,16.2031,2.9671,3.3666,0.1831,15.3654,15.7944,2.8923,3.2816,0.1831,14.9778,15.9958,2.9291,3.3235,0.1831,15.1688,15.4733,2.8334,3.2149,0.1831,14.6732,17.6667,1
15.4733,2.8334,3.2149,0.1831,14.6732,15.809,2.8949,3.2847,0.1831,14.9916,16.2031,2.9671,3.3666,0.1831,15.3654,15.7944,2.8923,3.2816,0.1831,14.9778,15.1813,2.78,3.1543,0.1831,14.3964,17.3333,1
15.1813,2.78,3.1543,0.1831,14.3964,15.4733,2.8334,3.2149,0.1831,14.6732,15.809,2.8949,3.2847,0.1831,14.9916,16.2031,2.9671,3.3666,0.1831,15.3654,15.3273,2.8067,3.1846,0.1831,14.5348,17.5,1
15.3273,2.8067,3.1846,0.1831,14.5348,15.1813,2.78,3.1543,0.1831,14.3964,15.4733,2.8334,3.2149,0.1831,14.6732,15.809,2.8949,3.2847,0.1831,14.9916,15.1521,2.7746,3.1482,0.1831,14.3687,17.3,1
