@RELATION "B3 - ITUB4"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
14.1997,2.154,64.7263,0.1517,14.4478,13.7604,2.0874,62.7239,0.1517,14.0008,13.4788,2.0447,61.4404,0.1517,13.7143,13.9482,2.1158,63.5796,0.1517,14.1918,14.1547,2.1472,64.5209,0.1517,14.4019,13.9669,2.1187,63.6652,0.1517,14.2109,13.8168,2.0959,62.9806,0.1517,14.0581,13.7342,2.0834,62.6041,0.1517,13.9741,13.37,2.0281,60.944,0.1517,13.6035,13.5164,2.0503,61.6115,0.1517,13.7525,14.425,2.1882,65.7532,0.1517,14.677,17.4943,0
14.425,2.1882,65.7532,0.1517,14.677,14.1997,2.154,64.7263,0.1517,14.4478,13.7604,2.0874,62.7239,0.1517,14.0008,13.4788,2.0447,61.4404,0.1517,13.7143,13.9482,2.1158,63.5796,0.1517,14.1918,14.1547,2.1472,64.5209,0.1517,14.4019,13.9669,2.1187,63.6652,0.1517,14.2109,13.8168,2.0959,62.9806,0.1517,14.0581,13.7342,2.0834,62.6041,0.1517,13.9741,13.37,2.0281,60.944,0.1517,13.6035,14.196,2.1534,64.7092,0.1517,14.4439,17.2165,0
14.196,2.1534,64.7092,0.1517,14.4439,14.425,2.1882,65.7532,0.1517,14.677,14.1997,2.154,64.7263,0.1517,14.4478,13.7604,2.0874,62.7239,0.1517,14.0008,13.4788,2.0447,61.4404,0.1517,13.7143,13.9482,2.1158,63.5796,0.1517,14.1918,14.1547,2.1472,64.5209,0.1517,14.4019,13.9669,2.1187,63.6652,0.1517,14.2109,13.8168,2.0959,62.9806,0.1517,14.0581,13.7342,2.0834,62.6041,0.1517,13.9741,14.3612,2.1785,65.4622,0.1517,14.612,17.4168,0
14.3612,2.1785,65.4622,0.1517,14.612,14.196,2.1534,64.7092,0.1517,14.4439,14.425,2.1882,65.7532,0.1517,14.677,14.1997,2.154,64.7263,0.1517,14.4478,13.7604,2.0874,62.7239,0.1517,14.0008,13.4788,2.0447,61.4404,0.1517,13.7143,13.9482,2.1158,63.5796,0.1517,14.1918,14.1547,2.1472,64.5209,0.1517,14.4019,13.9669,2.1187,63.6652,0.1517,14.2109,13.8168,2.0959,62.9806,0.1517,14.0581,14.4175,2.187,65.7189,0.1517,14.6693,17.4851,0
14.4175,2.187,65.7189,0.1517,14.6693,14.3612,2.1785,65.4622,0.1517,14.612,14.196,2.1534,64.7092,0.1517,14.4439,14.425,2.1882,65.7532,0.1517,14.677,14.1997,2.154,64.7263,0.1517,14.4478,13.7604,2.0874,62.7239,0.1517,14.0008,13.4788,2.0447,61.4404,0.1517,13.7143,13.9482,2.1158,63.5796,0.1517,14.1918,14.1547,2.1472,64.5209,0.1517,14.4019,13.9669,2.1187,63.6652,0.1517,14.2109,14.4438,2.191,65.8387,0.1517,14.6961,17.517,0
14.4438,2.191,65.8387,0.1517,14.6961,14.4175,2.187,65.7189,0.1517,14.6693,14.3612,2.1785,65.4622,0.1517,14.612,14.196,2.1534,64.7092,0.1517,14.4439,14.425,2.1882,65.7532,0.1517,14.677,14.1997,2.154,64.7263,0.1517,14.4478,13.7604,2.0874,62.7239,0.1517,14.0008,13.4788,2.0447,61.4404,0.1517,13.7143,13.9482,2.1158,63.5796,0.1517,14.1918,14.1547,2.1472,64.5209,0.1517,14.4019,14.4926,2.1984,66.0612,0.1517,14.7457,17.5762,0
14.4926,2.1984,66.0612,0.1517,14.7457,14.4438,2.191,65.8387,0.1517,14.6961,14.4175,2.187,65.7189,0.1517,14.6693,14.3612,2.1785,65.4622,0.1517,14.612,14.196,2.1534,64.7092,0.1517,14.4439,14.425,2.1882,65.7532,0.1517,14.677,14.1997,2.154,64.7263,0.1517,14.4478,13.7604,2.0874,62.7239,0.1517,14.0008,13.4788,2.0447,61.4404,0.1517,13.7143,13.9482,2.1158,63.5796,0.1517,14.1918,14.455,2.1927,65.8901,0.1517,14.7075,17.5307,0
14.455,2.1927,65.8901,0.1517,14.7075,14.4926,2.1984,66.0612,0.1517,14.7457,14.4438,2.191,65.8387,0.1517,14.6961,14.4175,2.187,65.7189,0.1517,14.6693,14.3612,2.1785,65.4622,0.1517,14.612,14.196,2.1534,64.7092,0.1517,14.4439,14.425,2.1882,65.7532,0.1517,14.677,14.1997,2.154,64.7263,0.1517,14.4478,13.7604,2.0874,62.7239,0.1517,14.0008,13.4788,2.0447,61.4404,0.1517,13.7143,14.2373,2.1597,64.8974,0.1517,14.486,17.2666,0
14.2373,2.1597,64.8974,0.1517,14.486,14.455,2.1927,65.8901,0.1517,14.7075,14.4926,2.1984,66.0612,0.1517,14.7457,14.4438,2.191,65.8387,0.1517,14.6961,14.4175,2.187,65.7189,0.1517,14.6693,14.3612,2.1785,65.4622,0.1517,14.612,14.196,2.1534,64.7092,0.1517,14.4439,14.425,2.1882,65.7532,0.1517,14.677,14.1997,2.154,64.7263,0.1517,14.4478,13.7604,2.0874,62.7239,0.1517,14.0008,14.1547,2.1472,64.5209,0.1517,14.4019,17.1664,0
14.1547,2.1472,64.5209,0.1517,14.4019,14.2373,2.1597,64.8974,0.1517,14.486,14.455,2.1927,65.8901,0.1517,14.7075,14.4926,2.1984,66.0612,0.1517,14.7457,14.4438,2.191,65.8387,0.1517,14.6961,14.4175,2.187,65.7189,0.1517,14.6693,14.3612,2.1785,65.4622,0.1517,14.612,14.196,2.1534,64.7092,0.1517,14.4439,14.425,2.1882,65.7532,0.1517,14.677,14.1997,2.154,64.7263,0.1517,14.4478,13.7604,2.0874,62.7239,0.1517,14.0008,16.6883,0
13.7604,2.0874,62.7239,0.1517,14.0008,14.1547,2.1472,64.5209,0.1517,14.4019,14.2373,2.1597,64.8974,0.1517,14.486,14.455,2.1927,65.8901,0.1517,14.7075,14.4926,2.1984,66.0612,0.1517,14.7457,14.4438,2.191,65.8387,0.1517,14.6961,14.4175,2.187,65.7189,0.1517,14.6693,14.3612,2.1785,65.4622,0.1517,14.612,14.196,2.1534,64.7092,0.1517,14.4439,14.425,2.1882,65.7532,0.1517,14.677,13.629,2.0674,62.1249,0.1517,13.8671,16.5289,0
