@RELATION "B3 - GGBR3"

@ATTRIBUTE pl1 NUMERIC
@ATTRIBUTE pvpa1 NUMERIC
@ATTRIBUTE psr1 NUMERIC
@ATTRIBUTE roe1 NUMERIC
@ATTRIBUTE ev_ebit1 NUMERIC
@ATTRIBUTE pl2 NUMERIC
@ATTRIBUTE pvpa2 NUMERIC
@ATTRIBUTE psr2 NUMERIC
@ATTRIBUTE roe2 NUMERIC
@ATTRIBUTE ev_ebit2 NUMERIC
@ATTRIBUTE pl3 NUMERIC
@ATTRIBUTE pvpa3 NUMERIC
@ATTRIBUTE psr3 NUMERIC
@ATTRIBUTE roe3 NUMERIC
@ATTRIBUTE ev_ebit3 NUMERIC
@ATTRIBUTE pl4 NUMERIC
@ATTRIBUTE pvpa4 NUMERIC
@ATTRIBUTE psr4 NUMERIC
@ATTRIBUTE roe4 NUMERIC
@ATTRIBUTE ev_ebit4 NUMERIC
@ATTRIBUTE pl5 NUMERIC
@ATTRIBUTE pvpa5 NUMERIC
@ATTRIBUTE psr5 NUMERIC
@ATTRIBUTE roe5 NUMERIC
@ATTRIBUTE ev_ebit5 NUMERIC
@ATTRIBUTE pl6 NUMERIC
@ATTRIBUTE pvpa6 NUMERIC
@ATTRIBUTE psr6 NUMERIC
@ATTRIBUTE roe6 NUMERIC
@ATTRIBUTE ev_ebit6 NUMERIC
@ATTRIBUTE pl7 NUMERIC
@ATTRIBUTE pvpa7 NUMERIC
@ATTRIBUTE psr7 NUMERIC
@ATTRIBUTE roe7 NUMERIC
@ATTRIBUTE ev_ebit7 NUMERIC
@ATTRIBUTE pl8 NUMERIC
@ATTRIBUTE pvpa8 NUMERIC
@ATTRIBUTE psr8 NUMERIC
@ATTRIBUTE roe8 NUMERIC
@ATTRIBUTE ev_ebit8 NUMERIC
@ATTRIBUTE pl9 NUMERIC
@ATTRIBUTE pvpa9 NUMERIC
@ATTRIBUTE psr9 NUMERIC
@ATTRIBUTE roe9 NUMERIC
@ATTRIBUTE ev_ebit9 NUMERIC
@ATTRIBUTE pl10 NUMERIC
@ATTRIBUTE pvpa10 NUMERIC
@ATTRIBUTE psr10 NUMERIC
@ATTRIBUTE roe10 NUMERIC
@ATTRIBUTE ev_ebit10 NUMERIC
@ATTRIBUTE pl NUMERIC
@ATTRIBUTE pvpa NUMERIC
@ATTRIBUTE psr NUMERIC
@ATTRIBUTE roe NUMERIC
@ATTRIBUTE ev_ebit NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
12.9652,1.0403,13.3442,0.0802,10.8269,13.0236,1.045,13.4044,0.0802,10.8757,12.9902,1.0423,13.37,0.0802,10.8478,12.9568,1.0396,13.3357,0.0802,10.8199,12.7983,1.0269,13.1725,0.0802,10.6875,12.1475,0.9747,12.5027,0.0802,10.1441,12.1726,0.9767,12.5285,0.0802,10.165,11.964,0.96,12.3138,0.0802,9.9908,11.722,0.9405,12.0648,0.0802,9.7888,11.7638,0.9439,12.1077,0.0802,9.8236,12.7816,1.0256,13.1553,0.0802,10.6736,14.5905,0
12.7816,1.0256,13.1553,0.0802,10.6736,12.9652,1.0403,13.3442,0.0802,10.8269,13.0236,1.045,13.4044,0.0802,10.8757,12.9902,1.0423,13.37,0.0802,10.8478,12.9568,1.0396,13.3357,0.0802,10.8199,12.7983,1.0269,13.1725,0.0802,10.6875,12.1475,0.9747,12.5027,0.0802,10.1441,12.1726,0.9767,12.5285,0.0802,10.165,11.964,0.96,12.3138,0.0802,9.9908,11.722,0.9405,12.0648,0.0802,9.7888,12.6064,1.0115,12.975,0.0802,10.5273,14.3905,0
12.6064,1.0115,12.975,0.0802,10.5273,12.7816,1.0256,13.1553,0.0802,10.6736,12.9652,1.0403,13.3442,0.0802,10.8269,13.0236,1.045,13.4044,0.0802,10.8757,12.9902,1.0423,13.37,0.0802,10.8478,12.9568,1.0396,13.3357,0.0802,10.8199,12.7983,1.0269,13.1725,0.0802,10.6875,12.1475,0.9747,12.5027,0.0802,10.1441,12.1726,0.9767,12.5285,0.0802,10.165,11.964,0.96,12.3138,0.0802,9.9908,12.256,0.9834,12.6143,0.0802,10.2347,13.9905,0
12.256,0.9834,12.6143,0.0802,10.2347,12.6064,1.0115,12.975,0.0802,10.5273,12.7816,1.0256,13.1553,0.0802,10.6736,12.9652,1.0403,13.3442,0.0802,10.8269,13.0236,1.045,13.4044,0.0802,10.8757,12.9902,1.0423,13.37,0.0802,10.8478,12.9568,1.0396,13.3357,0.0802,10.8199,12.7983,1.0269,13.1725,0.0802,10.6875,12.1475,0.9747,12.5027,0.0802,10.1441,12.1726,0.9767,12.5285,0.0802,10.165,12.5897,1.0102,12.9578,0.0802,10.5134,14.3714,0
12.5897,1.0102,12.9578,0.0802,10.5134,12.256,0.9834,12.6143,0.0802,10.2347,12.6064,1.0115,12.975,0.0802,10.5273,12.7816,1.0256,13.1553,0.0802,10.6736,12.9652,1.0403,13.3442,0.0802,10.8269,13.0236,1.045,13.4044,0.0802,10.8757,12.9902,1.0423,13.37,0.0802,10.8478,12.9568,1.0396,13.3357,0.0802,10.8199,12.7983,1.0269,13.1725,0.0802,10.6875,12.1475,0.9747,12.5027,0.0802,10.1441,12.7816,1.0256,13.1553,0.0802,10.6736,14.5905,0
12.7816,1.0256,13.1553,0.0802,10.6736,12.5897,1.0102,12.9578,0.0802,10.5134,12.256,0.9834,12.6143,0.0802,10.2347,12.6064,1.0115,12.975,0.0802,10.5273,12.7816,1.0256,13.1553,0.0802,10.6736,12.9652,1.0403,13.3442,0.0802,10.8269,13.0236,1.045,13.4044,0.0802,10.8757,12.9902,1.0423,13.37,0.0802,10.8478,12.9568,1.0396,13.3357,0.0802,10.8199,12.7983,1.0269,13.1725,0.0802,10.6875,12.4562,0.9995,12.8204,0.0802,10.4019,14.219,0
12.4562,0.9995,12.8204,0.0802,10.4019,12.7816,1.0256,13.1553,0.0802,10.6736,12.5897,1.0102,12.9578,0.0802,10.5134,12.256,0.9834,12.6143,0.0802,10.2347,12.6064,1.0115,12.975,0.0802,10.5273,12.7816,1.0256,13.1553,0.0802,10.6736,12.9652,1.0403,13.3442,0.0802,10.8269,13.0236,1.045,13.4044,0.0802,10.8757,12.9902,1.0423,13.37,0.0802,10.8478,12.9568,1.0396,13.3357,0.0802,10.8199,12.1559,0.9754,12.5113,0.0802,10.1511,13.8762,0
12.1559,0.9754,12.5113,0.0802,10.1511,12.4562,0.9995,12.8204,0.0802,10.4019,12.7816,1.0256,13.1553,0.0802,10.6736,12.5897,1.0102,12.9578,0.0802,10.5134,12.256,0.9834,12.6143,0.0802,10.2347,12.6064,1.0115,12.975,0.0802,10.5273,12.7816,1.0256,13.1553,0.0802,10.6736,12.9652,1.0403,13.3442,0.0802,10.8269,13.0236,1.045,13.4044,0.0802,10.8757,12.9902,1.0423,13.37,0.0802,10.8478,12.2727,0.9847,12.6315,0.0802,10.2486,14.0095,0
12.2727,0.9847,12.6315,0.0802,10.2486,12.1559,0.9754,12.5113,0.0802,10.1511,12.4562,0.9995,12.8204,0.0802,10.4019,12.7816,1.0256,13.1553,0.0802,10.6736,12.5897,1.0102,12.9578,0.0802,10.5134,12.256,0.9834,12.6143,0.0802,10.2347,12.6064,1.0115,12.975,0.0802,10.5273,12.7816,1.0256,13.1553,0.0802,10.6736,12.9652,1.0403,13.3442,0.0802,10.8269,13.0236,1.045,13.4044,0.0802,10.8757,11.8973,0.9546,12.2451,0.0802,9.9351,13.581,0
11.8973,0.9546,12.2451,0.0802,9.9351,12.2727,0.9847,12.6315,0.0802,10.2486,12.1559,0.9754,12.5113,0.0802,10.1511,12.4562,0.9995,12.8204,0.0802,10.4019,12.7816,1.0256,13.1553,0.0802,10.6736,12.5897,1.0102,12.9578,0.0802,10.5134,12.256,0.9834,12.6143,0.0802,10.2347,12.6064,1.0115,12.975,0.0802,10.5273,12.7816,1.0256,13.1553,0.0802,10.6736,12.9652,1.0403,13.3442,0.0802,10.8269,12.2226,0.9807,12.58,0.0802,10.2068,13.9524,0
