@RELATION "B3 - GFSA3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
409.5369,446.7675,405.9339,439.5616,447136.9694,440.7626,471.9883,440.7626,444.3656,434546.2026,451.5715,451.5715,427.5517,434.7577,266293.0327,435.9586,465.9833,434.7577,461.1794,236209.3103,386.7181,428.7527,385.5172,416.7428,471318.3681,1
386.7181,428.7527,385.5172,416.7428,471318.3681,409.5369,446.7675,405.9339,439.5616,447136.9694,440.7626,471.9883,440.7626,444.3656,434546.2026,451.5715,451.5715,427.5517,434.7577,266293.0327,361.4974,397.527,361.4974,391.5221,415227.9248,1
361.4974,397.527,361.4974,391.5221,415227.9248,386.7181,428.7527,385.5172,416.7428,471318.3681,409.5369,446.7675,405.9339,439.5616,447136.9694,440.7626,471.9883,440.7626,444.3656,434546.2026,361.4974,373.5073,350.6885,365.1004,344941.0367,1
361.4974,373.5073,350.6885,365.1004,344941.0367,361.4974,397.527,361.4974,391.5221,415227.9248,386.7181,428.7527,385.5172,416.7428,471318.3681,409.5369,446.7675,405.9339,439.5616,447136.9694,351.8895,373.5073,342.2816,365.1004,422034.9203,1
351.8895,373.5073,342.2816,365.1004,422034.9203,361.4974,373.5073,350.6885,365.1004,344941.0367,361.4974,397.527,361.4974,391.5221,415227.9248,386.7181,428.7527,385.5172,416.7428,471318.3681,317.0608,360.2964,317.0608,351.8895,540224.9593,1
317.0608,360.2964,317.0608,351.8895,540224.9593,351.8895,373.5073,342.2816,365.1004,422034.9203,361.4974,373.5073,350.6885,365.1004,344941.0367,361.4974,397.527,361.4974,391.5221,415227.9248,326.6687,329.0707,300.247,314.6589,451551.7512,1
326.6687,329.0707,300.247,314.6589,451551.7512,317.0608,360.2964,317.0608,351.8895,540224.9593,351.8895,373.5073,342.2816,365.1004,422034.9203,361.4974,373.5073,350.6885,365.1004,344941.0367,331.4727,335.0757,302.649,333.8747,709830.5407,1
331.4727,335.0757,302.649,333.8747,709830.5407,326.6687,329.0707,300.247,314.6589,451551.7512,317.0608,360.2964,317.0608,351.8895,540224.9593,351.8895,373.5073,342.2816,365.1004,422034.9203,333.8747,344.6836,323.0658,329.0707,615049.1783,1
333.8747,344.6836,323.0658,329.0707,615049.1783,331.4727,335.0757,302.649,333.8747,709830.5407,326.6687,329.0707,300.247,314.6589,451551.7512,317.0608,360.2964,317.0608,351.8895,540224.9593,341.0806,350.6885,337.4776,337.4776,322501.4705,1
341.0806,350.6885,337.4776,337.4776,322501.4705,333.8747,344.6836,323.0658,329.0707,615049.1783,331.4727,335.0757,302.649,333.8747,709830.5407,326.6687,329.0707,300.247,314.6589,451551.7512,319.4628,344.6836,319.4628,343.4826,353819.0604,1
