@RELATION "B3 - RADL3"

@ATTRIBUTE cotacao1 NUMERIC
@ATTRIBUTE high1 NUMERIC
@ATTRIBUTE low1 NUMERIC
@ATTRIBUTE open1 NUMERIC
@ATTRIBUTE volume1 NUMERIC
@ATTRIBUTE cotacao2 NUMERIC
@ATTRIBUTE high2 NUMERIC
@ATTRIBUTE low2 NUMERIC
@ATTRIBUTE open2 NUMERIC
@ATTRIBUTE volume2 NUMERIC
@ATTRIBUTE cotacao3 NUMERIC
@ATTRIBUTE high3 NUMERIC
@ATTRIBUTE low3 NUMERIC
@ATTRIBUTE open3 NUMERIC
@ATTRIBUTE volume3 NUMERIC
@ATTRIBUTE cotacao4 NUMERIC
@ATTRIBUTE high4 NUMERIC
@ATTRIBUTE low4 NUMERIC
@ATTRIBUTE open4 NUMERIC
@ATTRIBUTE volume4 NUMERIC
@ATTRIBUTE cotacao NUMERIC
@ATTRIBUTE high NUMERIC
@ATTRIBUTE low NUMERIC
@ATTRIBUTE open NUMERIC
@ATTRIBUTE volume NUMERIC
@ATTRIBUTE alvo {1, 0}

@DATA
3.95,4.0327,3.9019,3.9769,73431722.0,3.9615,4.0019,3.8288,3.8558,73038191.2,3.8846,3.8846,3.8269,3.8538,166741140.8,3.8654,3.875,3.8135,3.8288,95207060.0,4.0096,4.1615,3.9558,3.9615,225955698.8,1
4.0096,4.1615,3.9558,3.9615,225955698.8,3.95,4.0327,3.9019,3.9769,73431722.0,3.9615,4.0019,3.8288,3.8558,73038191.2,3.8846,3.8846,3.8269,3.8538,166741140.8,4.0385,4.0827,3.9808,4.0231,167761666.8,1
4.0385,4.0827,3.9808,4.0231,167761666.8,4.0096,4.1615,3.9558,3.9615,225955698.8,3.95,4.0327,3.9019,3.9769,73431722.0,3.9615,4.0019,3.8288,3.8558,73038191.2,3.9231,4.0769,3.9231,4.0769,82746149.2,1
3.9231,4.0769,3.9231,4.0769,82746149.2,4.0385,4.0827,3.9808,4.0231,167761666.8,4.0096,4.1615,3.9558,3.9615,225955698.8,3.95,4.0327,3.9019,3.9769,73431722.0,3.8462,3.9519,3.8462,3.9231,138731616.4,1
3.8462,3.9519,3.8462,3.9231,138731616.4,3.9231,4.0769,3.9231,4.0769,82746149.2,4.0385,4.0827,3.9808,4.0231,167761666.8,4.0096,4.1615,3.9558,3.9615,225955698.8,3.8577,3.9192,3.8058,3.9192,373482267.6,1
3.8577,3.9192,3.8058,3.9192,373482267.6,3.8462,3.9519,3.8462,3.9231,138731616.4,3.9231,4.0769,3.9231,4.0769,82746149.2,4.0385,4.0827,3.9808,4.0231,167761666.8,4.0192,4.1192,3.8462,3.8712,104849617.6,1
4.0192,4.1192,3.8462,3.8712,104849617.6,3.8577,3.9192,3.8058,3.9192,373482267.6,3.8462,3.9519,3.8462,3.9231,138731616.4,3.9231,4.0769,3.9231,4.0769,82746149.2,4.0731,4.0942,4.0365,4.0942,58820132.8,1
4.0731,4.0942,4.0365,4.0942,58820132.8,4.0192,4.1192,3.8462,3.8712,104849617.6,3.8577,3.9192,3.8058,3.9192,373482267.6,3.8462,3.9519,3.8462,3.9231,138731616.4,3.9442,4.0846,3.9442,4.0731,113876750.0,1
3.9442,4.0846,3.9442,4.0731,113876750.0,4.0731,4.0942,4.0365,4.0942,58820132.8,4.0192,4.1192,3.8462,3.8712,104849617.6,3.8577,3.9192,3.8058,3.9192,373482267.6,3.8231,3.9269,3.7596,3.9269,419033513.6,1
3.8231,3.9269,3.7596,3.9269,419033513.6,3.9442,4.0846,3.9442,4.0731,113876750.0,4.0731,4.0942,4.0365,4.0942,58820132.8,4.0192,4.1192,3.8462,3.8712,104849617.6,3.7788,3.8269,3.7538,3.825,393567673.2,1
